index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
0,1,1,1,5,,0,17.8153,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,0,5,1,0,114,392,615,0,0,115,224
1,2,1,1,6,,0,8.3889,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,9,6,1,1853,2076,899,1122,0,0,224,224
2,3,1,1,5,,0,3.71379,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,14,5,1,1517,1740,1033,1256,0,0,224,224
3,4,1,1,6,,0,-20.5814,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,39,6,1,2172,2395,502,725,0,0,224,224
4,5,1,1,6,,0,-21.899,0,0,2,1536,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,1,-1,0,0,41,6,1,644,867,1546,1711,0,0,224,166
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,1,1,415,6,0,1327,1550,0,57,0,166,224,58
5,6,1,1,6,,0,-38.9541,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,0,1,58,5,0,2426,2430,154,377,0,0,5,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,0,0,59,6,1,0,218,154,377,5,0,219,224
6,7,1,1,6,,0,-43.5673,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,63,6,1,1933,2156,158,381,0,0,224,224
7,8,1,1,5,,0,-46.5522,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,66,5,1,2186,2409,838,1061,0,0,224,224
8,9,1,1,6,,0,-149.143,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,173,6,1,1425,1648,1068,1291,0,0,224,224
9,10,1,1,6,,0,-152.697,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,177,6,1,695,918,1058,1281,0,0,224,224
10,11,1,1,6,,0,-176.338,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,201,6,1,2146,2369,797,1020,0,0,224,224
11,12,1,1,6,,0,-177.662,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,203,6,1,634,857,1304,1527,0,0,224,224
12,13,1,1,5,,0,158.216,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,228,5,1,886,1109,970,1193,0,0,224,224
13,14,1,1,6,,0,91.7875,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,297,6,1,1201,1424,834,1057,0,0,224,224
14,15,1,1,6,,0,91.4731,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,297,6,1,1995,2218,0,156,0,0,224,157
15,16,1,1,5,,0,90.6001,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,298,5,1,1773,1996,133,356,0,0,224,224
16,17,1,1,5,,0,89.1095,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,300,5,1,682,905,205,428,0,0,224,224
17,18,1,1,6,,0,88.0704,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,0,0,301,6,1,877,1100,115,338,0,0,224,224
18,19,1,1,5,,0,87.4695,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,0,1,301,6,0,2397,2430,1362,1585,0,0,34,224
