index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
0,-1,-1,1,1,0,14,-1,1,0,1,-1,-1,1,1792,2814,2411,2699,1413,22033,188095,134293.296875,-4.508345603942871,-27211.9140625,131507.421875,131507.421875,27211.908203125,177.58261108398438,0.0,2814.0,2814.0,2814.0,0.0,0.0,0.0,0.0,0.070656917989254,72,0,-1,0.0,0.0,0.0,-1,0,-1,0,0,0,0,22015,22048,188092,188098
1,-1,-1,2,1,0,14,-1,2,1,1,-1,-1,2,1792,2777,2411,885,1400,22017,186997,134306.40625,-4.482028007507324,-30666.04296875,130758.578125,130758.578125,30666.033203125,173.70309448242188,1498.3590087890625,2777.0,38.708641052246094,2777.0,0.0,0.0,47.1953125,31.748046875,0.0644233301281929,51,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21989,22043,186994,187001
2,-1,-1,3,1,0,14,-1,3,2,1,-1,-1,3,0,2800,2411,2463,1352,21979,187951,134336.796875,-4.504894256591797,-27674.591796875,131455.28125,131455.28125,27674.5859375,219.28636169433594,1582.732421875,2800.0,39.7835693359375,2800.0,0.0,0.0,50.046875,31.625,0.0650361180305481,74,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21942,22000,187948,187955
3,-1,-1,4,1,0,14,-1,4,3,1,-1,-1,4,0,2603,2411,2228,1240,21881,187810,134415.203125,-4.501514434814453,-28135.138671875,131437.671875,131437.671875,28135.1328125,203.85800170898438,1592.1470947265625,2603.0,39.90171813964844,2603.0,0.0,0.0,50.109375,31.7734375,0.07026588916778564,74,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21867,21925,187806,187813
4,-1,-1,5,1,0,14,-1,5,4,1,-1,-1,5,0,2760,2411,1992,1182,21829,187667,134456.59375,-4.498086929321289,-28594.279296875,131380.90625,131380.90625,28594.2734375,150.899658203125,1423.515869140625,2760.0,37.72950744628906,2760.0,0.0,0.0,49.453125,28.78515625,0.06538618355989456,54,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21789,21847,187664,187670
5,-1,-1,6,1,0,14,-1,6,5,1,-1,-1,6,0,4079,2411,1757,1078,21738,187524,134529.40625,-4.494659423828125,-29060.146484375,131353.21875,131353.21875,29060.14453125,222.05801391601563,1606.39208984375,4079.0,40.0798225402832,4079.0,0.0,0.0,50.1875,32.0078125,0.06643971800804138,61,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21711,21769,187521,187528
6,-1,-1,7,1,0,14,-1,7,6,1,-1,-1,7,0,2201,2411,1521,986,21655,187382,134595.40625,-4.491256237030029,-29521.474609375,131317.96875,131317.96875,29521.47265625,128.77322387695313,1437.2103271484375,2201.0,37.91055679321289,2201.0,0.0,0.0,49.515625,29.025390625,0.06274856626987457,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21627,21685,187379,187385
7,-1,-1,8,1,0,14,-1,8,7,1,-1,-1,8,0,2794,2411,1287,892,21573,187240,134661.203125,-4.487852573394775,-29982.9140625,131280.859375,131280.859375,29982.912109375,163.4676971435547,1480.452880859375,2794.0,38.476654052734375,2794.0,0.0,0.0,50.328125,29.416015625,0.06361638754606247,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21544,21603,187237,187243
8,-1,-1,9,1,0,14,-1,9,8,1,-1,-1,9,0,2584,2411,1053,792,21485,187099,134732.0,-4.48447322845459,-30442.380859375,131247.75,131247.75,30442.37890625,191.08364868164063,1636.450439453125,2584.0,40.45306396484375,2584.0,0.0,0.0,50.328125,32.515625,0.06356117129325867,68,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21457,21515,187095,187102
9,-1,-1,10,1,0,14,-1,10,9,1,-1,-1,10,0,2786,2411,917,712,21415,187016,134788.0,-4.482483386993408,-30716.244140625,131241.4375,131241.4375,30716.234375,217.84571838378906,1641.1865234375,2786.0,40.511558532714844,2786.0,0.0,0.0,50.34375,32.599609375,0.08181965351104736,68,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21406,21464,187013,187020
