this_ptr,parent,next,prev,next_track,prev_track,track_root,count,track_count,track_node_count,status,track_id,evt.index,evt.event_id,evt.proc_id,evt.packet_id,evt.peak_adc,evt.peak_row,evt.peak_col,evt.x_encoder,evt.w_encoder,evt.radius,evt.theta,evt.x_cor,evt.y_cor,evt.x,evt.y,evt.snr,evt.ee,evt.ee_is_fitted,evt.xenc_merge_count,evt.wenc_merge_count,evt.wenc_per_um,evt.box_width,evt.box_height,evt.xenc_outer,evt.xenc_inner,evt.wenc_left,evt.wenc_right,evt.acc_flag,evt.cosmic_ray_flag,evt.saturated_flag,evt.pixel_sindex,evt.pixel_eindex
0,0,-1,-1,-1,-1,0,1,1,1,2,14,0,0,2,2411,2814,2699,1413,22033.375,188095,134293.296875,-4.508345603942871,-27211.9140625,131507.421875,131507.421875,27211.908203125,221.20877075195313,0.070656917989254,0,250.0,63.031898498535156,0.31515949964523315,0,0,22015.875,22048.25,188092,188098,0,0,0,0,1500
1,1,-1,-1,-1,-1,1,1,1,1,2,14,1,1,2,2411,2777,885,1400,22017.0,186997,134306.40625,-4.482028007507324,-30666.04296875,130758.578125,130758.578125,30666.037109375,218.8194580078125,0.0644233301281929,0,250.0,63.025753021240234,0.31512877345085144,0,0,21989.0,22043.25,186994,187001,0,0,0,0,1500
2,2,-1,-1,-1,-1,2,1,1,1,2,14,2,2,2,2411,2800,2463,1352,21979.0,187951,134336.796875,-4.504894256591797,-27674.591796875,131455.28125,131455.28125,27674.5859375,219.2776336669922,0.0650361180305481,0,250.0,63.01148986816406,0.3150574564933777,0,0,21942.25,22000.0,187948,187955,0,0,0,0,1500
3,3,-1,-1,-1,-1,3,1,1,1,2,14,3,3,2,2411,2603,2228,1240,21881.0,187810,134415.203125,-4.501514434814453,-28135.138671875,131437.671875,131437.671875,28135.1328125,204.75506591796875,0.07026588916778564,0,250.0,62.97473907470703,0.31487369537353516,0,0,21867.875,21925.625,187806,187813,0,0,0,0,1500
4,4,-1,-1,-1,-1,4,1,1,1,2,14,4,4,2,2411,2760,1992,1182,21829.25,187667,134456.59375,-4.498086929321289,-28594.279296875,131380.90625,131380.90625,28594.2734375,215.60191345214844,0.06538618355989456,0,250.0,62.955345153808594,0.3147767186164856,0,0,21789.875,21847.625,187664,187670,0,0,0,0,1500
5,5,-1,-1,-1,-1,5,1,1,1,2,14,5,5,2,2411,4079,1757,1078,21738.25,187524,134529.40625,-4.494659423828125,-29060.146484375,131353.21875,131353.21875,29060.140625,319.6075744628906,0.06643971800804138,0,250.0,62.92127227783203,0.31460636854171753,0,0,21711.125,21769.75,187521,187528,0,0,0,0,1500
6,6,-1,-1,-1,-1,6,1,1,1,2,14,6,6,2,2411,2201,1521,986,21655.75,187382,134595.40625,-4.491256237030029,-29521.474609375,131317.96875,131317.96875,29521.46875,171.6468505859375,0.06274856626987457,0,250.0,62.89042663574219,0.3144521415233612,0,0,21627.75,21685.5,187379,187385,0,0,0,0,1500
7,7,-1,-1,-1,-1,7,1,1,1,2,14,7,7,2,2411,2794,1287,892,21573.5,187240,134661.203125,-4.487852573394775,-29982.9140625,131280.859375,131280.859375,29982.908203125,218.10491943359375,0.06361638754606247,0,250.0,62.85969543457031,0.31429848074913025,0,0,21544.625,21603.25,187237,187243,0,0,0,0,1500
8,8,-1,-1,-1,-1,8,1,1,1,2,14,8,8,2,2411,2584,1053,792,21485.0,187099,134732.0,-4.48447322845459,-30442.380859375,131247.75,131247.75,30442.375,201.992431640625,0.06356117129325867,0,250.0,62.826656341552734,0.31413328647613525,0,0,21457.0,21515.625,187095,187102,0,0,0,0,1500
9,9,-1,-1,-1,-1,9,1,1,1,2,14,9,9,2,2411,2786,917,712,21415.0,187016,134788.0,-4.482483386993408,-30716.244140625,131241.4375,131241.4375,30716.23828125,217.54925537109375,0.08181965351104736,0,250.0,62.80055618286133,0.31400278210639954,0,0,21406.25,21464.875,187013,187020,0,0,0,0,1500
