index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
0,-1,-1,1,1,0,26,-1,1,0,1,-1,-1,1,1792,4055,3788,2694,1398,36155,6825,122995.796875,-0.1635846644639969,121353.78125,-20030.611328125,-20030.62109375,-121353.78125,252.82965087890625,1790.3935546875,4055.0,42.31304168701172,4055.0,0.0,0.0,34.123046875,52.46875,0.06821230798959732,75,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36129,36190,6820,6829
1,-1,-1,2,1,0,26,-1,2,1,1,-1,-1,2,0,2773,3910,2275,1382,37302,250173,122078.203125,-5.9962592124938965,117087.4453125,34548.78125,34548.78515625,-117087.4453125,234.27426147460938,46244.99609375,2773.0,215.04649353027344,2773.0,0.0,0.0,163.1171875,283.5078125,0.07788451015949249,58,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37014,37350,250169,250200
2,-1,-1,3,1,0,26,-1,3,2,1,-1,-1,3,0,4065,3910,2534,1275,37209,250360,122152.296875,-6.000741004943848,117312.265625,34044.32421875,34044.328125,-117312.265625,341.0573425292969,45192.91796875,4065.0,212.5862579345703,4065.0,0.0,0.0,159.4765625,283.3828125,0.06861338764429092,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37188,37525,250334,250364
3,-1,-1,4,1,0,26,-1,4,3,1,-1,-1,4,0,4036,3910,1297,1283,37212,249470,122149.8984375,-5.979409217834473,116557.1171875,36538.15234375,36538.15234375,-116557.1171875,341.7140197753906,1857.46044921875,4036.0,43.0982666015625,4036.0,0.0,0.0,36.2265625,51.2734375,0.11966851353645325,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37160,37218,249466,249474
4,-1,-1,5,1,0,26,-1,5,4,1,-1,-1,5,0,4051,3910,2079,910,36888,250033,122409.3984375,-5.992903232574463,117288.1796875,35036.328125,35036.328125,-117288.1875,343.1885681152344,46145.3359375,4051.0,214.8146514892578,4051.0,0.0,0.0,163.61328125,282.0390625,0.11670399457216263,58,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36836,37170,250006,250037
5,-1,-1,6,1,0,26,-1,6,6,1,-1,-1,6,0,2781,3910,1091,1070,37025,249323,122299.796875,-5.97588586807251,116570.53125,36993.94140625,36993.94140625,-116570.53125,235.57981872558594,1866.976806640625,2781.0,43.208526611328125,2781.0,0.0,0.0,36.37890625,51.3203125,0.06700922548770905,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36990,37048,249319,249327
6,-1,-1,7,1,0,26,-1,7,7,1,-1,-1,7,0,4071,3910,1852,660,36669,249869,122584.3984375,-5.9889726638793945,117317.0390625,35547.80859375,35547.8125,-117317.0390625,344.9485778808594,46245.6953125,4071.0,215.04812622070313,4071.0,0.0,0.0,164.37890625,281.3359375,0.08069255948066711,58,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36657,36990,249843,249874
7,-1,-1,8,1,0,26,-1,8,9,1,-1,-1,8,0,4069,3910,1594,811,36800,249684,122479.5,-5.984538555145264,117058.0078125,36036.7890625,36036.79296875,-117058.0078125,340.8748474121094,47487.203125,4069.0,217.91558837890625,4069.0,0.0,0.0,168.2265625,282.28125,0.10851607471704483,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36475,36808,249679,249711
8,-1,-1,9,1,0,26,-1,9,11,1,-1,-1,9,0,4065,3910,1400,267,36323,249544,122861.1015625,-5.981183052062988,117300.7578125,36542.87890625,36542.87890625,-117300.7578125,340.53973388671875,46845.15625,4065.0,216.4374237060547,4065.0,0.0,0.0,166.421875,281.484375,0.06865336745977402,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36290,36623,249517,249548
9,-1,-1,10,1,0,26,-1,10,13,1,-1,-1,10,1792,2765,3910,1195,77,36157,249396,122994.1015625,-5.977635383605957,117297.21875,36998.80078125,36998.796875,-117297.2109375,229.78273010253906,47847.91015625,2765.0,218.7416534423828,2765.0,0.0,0.0,169.87109375,281.671875,0.05907709524035454,61,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36122,36454,249369,249401
