this_ptr,parent,next,prev,next_track,prev_track,track_root,count,track_count,track_node_count,status,track_id,evt.index,evt.event_id,evt.proc_id,evt.packet_id,evt.peak_adc,evt.peak_row,evt.peak_col,evt.x_encoder,evt.w_encoder,evt.radius,evt.theta,evt.x_cor,evt.y_cor,evt.x,evt.y,evt.snr,evt.ee,evt.ee_is_fitted,evt.xenc_merge_count,evt.wenc_merge_count,evt.wenc_per_um,evt.box_width,evt.box_height,evt.xenc_outer,evt.xenc_inner,evt.wenc_left,evt.wenc_right,evt.acc_flag,evt.cosmic_ray_flag,evt.saturated_flag,evt.pixel_sindex,evt.pixel_eindex
0,0,41,-1,41,-1,0,2,2,1,2,26,0,0,1,3788,4055,2694,1398,36155.25,6825,122995.796875,-0.1635846644639969,121353.78125,-20030.611328125,-20030.6171875,-121353.78125,344.83001708984375,0.06821230798959732,0,250.0,68.90985870361328,0.344549298286438,0,0,36129.0,36182.375,6820,6829,0,0,0,0,1500
1,1,5,-1,73,-1,1,3,2,2,2,26,1,1,1,3910,2773,2275,1382,37302.25,250173,122078.203125,-5.9962592124938965,117087.4453125,34548.78125,34548.77734375,-117087.4453125,233.67018127441406,0.07788451015949249,0,250.0,69.43671417236328,0.34718355536460876,0,0,37290.0,37343.375,250169,250177,0,0,0,0,1500
2,2,71,-1,71,-1,2,2,2,1,2,26,2,2,1,3910,4065,2534,1275,37209.625,250360,122152.296875,-6.000741004943848,117312.265625,34044.32421875,34044.3203125,-117312.265625,344.62420654296875,0.06861338764429092,0,250.0,69.39459228515625,0.3469729721546173,0,0,37188.625,37248.125,250355,250364,0,0,0,0,1500
3,3,-1,-1,-1,-1,3,1,1,1,2,26,3,3,1,3910,4036,1297,1283,37212.625,249470,122149.8984375,-5.979409217834473,116557.1171875,36538.15234375,36538.1484375,-116557.1171875,346.0038146972656,0.11966851353645325,0,250.0,69.39595031738281,0.3469797670841217,0,0,37160.125,37218.75,249466,249474,0,0,0,0,1500
4,4,8,-1,-1,-1,4,2,1,2,2,26,4,4,1,3910,2599,2048,1220,37159.5,250011,122192.3984375,-5.992376327514648,117061.8125,35035.90234375,35035.8984375,-117061.8125,220.58033752441406,0.09150844812393188,0,250.0,69.37181091308594,0.34685906767845154,0,0,37112.25,37170.0,250006,250014,0,0,0,0,1500
5,1,73,1,73,-1,1,1,1,1,2,26,5,5,1,3910,2773,2306,1109,37063.375,250195,122269.296875,-5.996786117553711,117288.9375,34541.0703125,34541.06640625,-117288.9375,234.246826171875,0.10138939321041107,0,250.0,69.32818603515625,0.346640944480896,0,0,37014.375,37072.125,250192,250200,0,0,0,0,1500
6,6,-1,-1,-1,-1,6,1,1,1,2,26,6,6,1,3910,2781,1091,1070,37025.25,249323,122299.796875,-5.97588586807251,116570.53125,36993.94140625,36993.9375,-116570.53125,235.7271728515625,0.06700922548770905,0,250.0,69.31089782714844,0.3465544879436493,0,0,36990.25,37048.0,249319,249327,0,0,0,0,1500
7,7,10,-1,-1,-1,7,2,1,2,2,26,7,7,1,3910,2764,1820,982,36951.25,249846,122359.0,-5.988421440124512,117081.75,35546.9921875,35546.98828125,-117081.75,234.22959899902344,0.05979189649224281,0,250.0,69.2773666381836,0.3463868200778961,0,0,36932.875,36990.625,249843,249851,0,0,0,0,1500
8,4,-1,4,-1,-1,4,1,1,1,2,26,8,8,1,3910,4051,2079,910,36888.25,250033,122409.3984375,-5.992903232574463,117288.1796875,35036.328125,35036.32421875,-117288.1796875,342.4314880371094,0.11670399457216263,0,250.0,69.24884033203125,0.3462441861629486,0,0,36836.625,36895.25,250029,250037,0,0,0,0,1500
9,9,12,-1,-1,-1,9,2,1,2,2,26,9,9,1,3910,4069,1594,811,36800.625,249684,122479.5,-5.984538555145264,117058.0078125,36036.7890625,36036.78515625,-117058.0078125,344.5564880371094,0.10851607471704483,0,250.0,69.2092056274414,0.3460460305213928,0,0,36749.875,36808.5,249679,249688,0,0,0,0,1500
10,7,-1,7,-1,-1,7,1,1,1,2,26,10,10,1,3910,4071,1852,660,36669.5,249869,122584.3984375,-5.9889726638793945,117317.0390625,35547.80859375,35547.8046875,-117317.0390625,344.3003234863281,0.08069255948066711,0,250.0,69.14998626708984,0.3457499146461487,0,0,36657.25,36715.875,249865,249874,0,0,0,0,1500
11,11,14,-1,-1,-1,11,2,1,2,2,26,11,11,1,3910,2556,1368,569,36587.875,249521,122649.703125,-5.980631351470947,117078.7890625,36544.59765625,36544.59375,-117078.7890625,215.24464416503906,0.06616105139255524,0,250.0,69.11316680908203,0.3455658257007599,0,0,36565.125,36623.75,249517,249525,0,0,0,0,1500
12,9,-1,9,-1,-1,9,1,1,1,2,26,12,12,1,3910,4035,1626,482,36512.75,249707,122709.796875,-5.9850897789001465,117298.0,36039.8984375,36039.89453125,-117298.0,340.5155944824219,0.06760776042938232,0,250.0,69.07931518554688,0.34539657831192017,0,0,36475.125,36533.75,249702,249711,0,0,0,0,1500
13,13,15,-1,-1,-1,13,2,1,2,2,26,13,13,1,3910,2251,1162,379,36421.625,249373,122782.703125,-5.977084159851074,117075.234375,36999.74609375,36999.7421875,-117075.234375,190.46075439453125,0.06703644245862961,0,250.0,69.03829956054688,0.34519147872924805,0,0,36396.25,36454.0,249369,249377,0,0,0,0,1500
14,11,-1,11,-1,-1,11,1,1,1,2,26,14,14,1,3910,4065,1400,267,36323.625,249544,122861.1015625,-5.981183052062988,117300.7578125,36542.87890625,36542.875,-117300.7578125,343.61822509765625,0.06865336745977402,0,250.0,68.99424743652344,0.344971239566803,0,0,36290.375,36349.875,249540,249548,0,0,0,0,1500
15,13,-1,13,-1,-1,13,1,1,1,2,26,15,15,1,3910,2765,1195,77,36157.375,249396,122994.1015625,-5.977635383605957,117297.21875,36998.80078125,36998.796875,-117297.21875,234.36428833007813,0.05907709524035454,0,250.0,68.91080474853516,0.34455403685569763,0,0,36122.375,36180.125,249393,249401,0,0,0,0,1500
